time/iterations,train/value_loss,train/explained_variance,train/std,time/total_timesteps,train/policy_loss,time/time_elapsed,train/learning_rate,train/reward,train/n_updates,train/entropy_loss,time/fps
100,6.251287231862079e-06,0.0,1.141642689704895,500,-0.0022345329634845257,0,0.0007,0.001492326,99,-1.5505189895629883,1693
200,2.045999765396118,0.0,1.1888794898986816,1000,-2.0852339267730713,0,0.0007,-0.1362276,199,-1.591624140739441,1675
300,6.908501625061035,-1.1920928955078125e-07,1.1902484893798828,1500,-3.915374279022217,0,0.0007,2.3220792,299,-1.5931651592254639,1694
400,4.1148529052734375,-0.006536006927490234,1.1761811971664429,2000,-3.276702404022217,1,0.0007,-0.73380154,399,-1.5815269947052002,1642
500,25.661640167236328,0.0,1.1761081218719482,2500,5.137632846832275,1,0.0007,-6.8620768,499,-1.5815556049346924,1636
600,219.50076293945312,0.013664484024047852,1.1636998653411865,3000,-28.818912506103516,1,0.0007,1.700321,599,-1.5717566013336182,1624
700,0.16959288716316223,0.0,1.1686190366744995,3500,0.43013495206832886,2,0.0007,-0.31163424,699,-1.5755432844161987,1609
800,2.4910669326782227,-1.1920928955078125e-07,1.1805980205535889,4000,-3.597078800201416,2,0.0007,2.006931,799,-1.586125373840332,1613
900,6.657418727874756,0.0,1.1747674942016602,4500,3.20428466796875,2,0.0007,-0.9529336,899,-1.5804370641708374,1610
1000,4.7739763259887695,0.0,1.1735587120056152,5000,-0.5945343971252441,3,0.0007,-3.9883537,999,-1.578017234802246,1608
1100,79.70863342285156,1.1920928955078125e-07,1.1661460399627686,5500,9.901924133300781,3,0.0007,-0.9948364,1099,-1.5730297565460205,1617
1200,617.60107421875,0.0,1.1770410537719727,6000,-29.87563133239746,3,0.0007,23.825766,1199,-1.5815296173095703,1618
1300,0.008463678881525993,-1.1920928955078125e-07,1.191058874130249,6500,-0.12410042434930801,4,0.0007,0.16615412,1299,-1.5936691761016846,1620
1400,0.5664130449295044,0.0,1.1936519145965576,7000,-1.5566365718841553,4,0.0007,-0.5639698,1399,-1.5977481603622437,1624
1500,11.863238334655762,0.0,1.2048745155334473,7500,-4.6498122215271,4,0.0007,1.7337857,1499,-1.6050866842269897,1624
1600,7.633644104003906,5.960464477539063e-08,1.2064971923828125,8000,4.702809810638428,4,0.0007,-0.09665467,1599,-1.606278657913208,1624
1700,30.080509185791016,0.0,1.2020537853240967,8500,-7.016539096832275,5,0.0007,8.7325735,1699,-1.6026842594146729,1632
