time/time_elapsed,time/iterations,train/reward,time/total_timesteps,time/fps,train/std,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss
0,1,0.015556279,2048,2878,,,,,,,,,,,
1,2,0.016159669,4096,2531,1.0072896480560303,0.03671875,0.00025,0.015660252422094345,-0.002673541496915277,0.048789952823426574,0.0037344233,0.0,0.2,10,-1.4235145434737206
2,3,0.0019198188,6144,2441,1.0185396671295166,0.019921875,0.00025,0.12489042431116104,-0.0015066904845298268,0.1796507356222719,0.0022071926,-1.1920928955078125e-07,0.2,20,-1.432489350438118
3,4,0.0067292,8192,2313,1.0192773342132568,0.035009765625,0.00025,-0.00903836078941822,-0.0031459420919418336,0.004159317886660574,0.003788543,0.0,0.2,30,-1.4389839567244054
4,5,-0.1189844,10240,2217,1.0118112564086914,0.057861328125,0.00025,-0.02586117945611477,-0.004503027070313692,0.0023234599306306337,0.006504491,0.0,0.2,40,-1.4343791104853154
5,6,0.014118543,12288,2192,1.0013325214385986,0.01240234375,0.00025,0.05298811197280884,-0.0009389582890435122,0.16734067895449697,0.0040350556,0.0,0.2,50,-1.4250632323324681
6,7,-0.00019445305,14336,2205,1.000613808631897,0.0,0.00025,14.662023544311523,8.236055364250206e-05,22.731092047691345,6.782895e-05,0.0036540627479553223,0.2,60,-1.4201691642403602
7,8,0.02862918,16384,2207,0.9971681237220764,0.015185546875,0.00025,0.9447856545448303,-0.002289673764607869,2.0966513827443123,0.004534847,0.34995198249816895,0.2,70,-1.417423752695322
8,9,0.0070164227,18432,2218,0.9970210790634155,0.0,0.00025,25.140823364257812,3.641765724751167e-05,51.15634839534759,1.5836064e-05,0.11703258752822876,0.2,80,-1.415929263830185
9,10,-0.32727164,20480,2221,0.9921754002571106,0.015576171875,0.00025,1.8702976703643799,-0.001164034439716488,5.14912886172533,0.0040304563,0.0,0.2,90,-1.4134664691984653
10,11,-0.22820558,22528,2226,0.9897323846817017,0.019580078125,0.00025,1.131329894065857,-0.0017258925436181016,2.516123480349779,0.0052929893,-1.5497207641601562e-06,0.2,100,-1.411001978814602
11,12,0.0034272652,24576,2229,0.9900128841400146,0.0,0.00025,17.65482521057129,0.0002837696018104907,45.526312589645386,0.00048631112,0.21156996488571167,0.2,110,-1.4083891607820989
11,13,-3.364353,26624,2228,0.9895709753036499,0.0,0.00025,50.05515670776367,-0.0005195610567170661,115.65325553417206,0.0005132117,0.08738023042678833,0.2,120,-1.4087836913764478
12,14,1.4815744,28672,2227,0.9891539216041565,0.0041015625,0.00025,4.267964839935303,-0.000624267639068421,9.573276403546334,0.0029683227,0.5987642705440521,0.2,130,-1.4083399921655655
13,15,0.07809243,30720,2231,0.9902927279472351,0.00029296875,0.00025,36.04929733276367,-0.0009521845975541509,119.37729814052582,0.0011282236,0.325858473777771,0.2,140,-1.4083570331335067
14,16,3.0201077,32768,2223,0.9904075264930725,0.000927734375,0.00025,72.24945068359375,-0.001589421756216325,105.26085023880005,0.0018495661,0.36431610584259033,0.2,150,-1.4093412689864635
